"Artwork","CulturalPhenomenon","Type"
"http://icondataset.org/ART1033","http://icondataset.org/CF1109","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1034","http://icondataset.org/CF1281","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1034","http://icondataset.org/CF1212","http://icondataset.org/iconographical-influence"
"http://icondataset.org/ART1034","http://icondataset.org/CF1000","http://icondataset.org/belief"
"http://icondataset.org/ART1035","http://icondataset.org/CF1000","http://icondataset.org/belief"
"http://icondataset.org/ART1036","http://icondataset.org/CF1222","http://icondataset.org/formal-or-stylistic-phenomenon"
"http://icondataset.org/ART1045","http://icondataset.org/CF1222","http://icondataset.org/formal-or-stylistic-phenomenon"
"http://icondataset.org/ART1036","http://icondataset.org/CF1210","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1039","http://icondataset.org/CF1037","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1039","http://icondataset.org/CF1037","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1039","http://icondataset.org/CF1042","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1079","http://icondataset.org/CF1042","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1041","http://icondataset.org/CF1226","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1045","http://icondataset.org/CF1226","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1050","http://icondataset.org/CF1226","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1147","http://icondataset.org/CF1226","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1041","http://icondataset.org/CF1129","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1041","http://icondataset.org/CF1129","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1086","http://icondataset.org/CF1129","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1086","http://icondataset.org/CF1129","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1041","http://icondataset.org/CF1128","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1041","http://icondataset.org/CF1128","http://icondataset.org/iconographical-interpretation"
"http://icondataset.org/ART1041","http://icondataset.org/CF1283","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1042","http://icondataset.org/CF1154","http://icondataset.org/iconographical-interpretation"
"http://icondataset.org/ART1043","http://icondataset.org/CF1154","http://icondataset.org/iconographical-interpretation"
"http://icondataset.org/ART1042","http://icondataset.org/CF1032","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1043","http://icondataset.org/CF1032","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1043","http://icondataset.org/CF1220","http://icondataset.org/cultural-movement"
"http://icondataset.org/ART1043","http://icondataset.org/CF1243","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1043","http://icondataset.org/CF1243","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1044","http://icondataset.org/CF1243","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1044","http://icondataset.org/CF1243","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1046","http://icondataset.org/CF1243","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1046","http://icondataset.org/CF1243","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1086","http://icondataset.org/CF1243","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1086","http://icondataset.org/CF1243","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1120","http://icondataset.org/CF1243","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1120","http://icondataset.org/CF1243","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1260","http://icondataset.org/CF1243","http://icondataset.org/formal-or-stylistic-evolution"
"http://icondataset.org/ART1260","http://icondataset.org/CF1243","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1043","http://icondataset.org/CF1072","http://icondataset.org/reception-of-classical-antiquity"
